InvoiceID,InvoiceDate,CustomerName,Item,Quantity,UnitPrice,TotalAmount,GST,GrandTotal
INV00001,2026-02-02,Customer1,Product15,2,33487,66974,12055.32,79029.32
INV00002,2026-02-03,Customer2,Product15,4,4619,18476,3325.68,21801.68
INV00003,2026-02-04,Customer3,Product2,5,14725,73625,13252.5,86877.5
INV00004,2026-02-05,Customer4,Product5,1,21711,21711,3907.98,25618.98
INV00005,2026-02-06,Customer5,Product2,2,21894,43788,7881.84,51669.84
INV00006,2026-02-07,Customer6,Product19,2,8679,17358,3124.44,20482.44
INV00007,2026-02-08,Customer7,Product17,3,46304,138912,25004.16,163916.16
INV00008,2026-02-09,Customer8,Product11,1,19628,19628,3533.04,23161.04
INV00009,2026-02-10,Customer9,Product19,1,6527,6527,1174.86,7701.86
INV00010,2026-02-11,Customer10,Product12,2,42424,84848,15272.64,100120.64
INV00011,2026-02-12,Customer11,Product3,4,17960,71840,12931.2,84771.2
INV00012,2026-02-13,Customer12,Product11,1,6505,6505,1170.9,7675.9
INV00013,2026-02-14,Customer13,Product16,3,20598,61794,11122.92,72916.92
INV00014,2026-02-15,Customer14,Product14,3,20828,62484,11247.12,73731.12
INV00015,2026-02-16,Customer15,Product17,2,34882,69764,12557.52,82321.52
INV00016,2026-02-17,Customer16,Product10,3,41342,124026,22324.68,146350.68
INV00017,2026-02-18,Customer17,Product3,3,29842,89526,16114.68,105640.68
INV00018,2026-02-19,Customer18,Product11,3,23083,69249,12464.82,81713.82
INV00019,2026-02-20,Customer19,Product18,1,6958,6958,1252.44,8210.44
INV00020,2026-02-21,Customer20,Product15,1,5756,5756,1036.08,6792.08
INV00021,2026-02-22,Customer21,Product11,5,22270,111350,20043.0,131393.0
INV00022,2026-02-23,Customer22,Product3,2,13109,26218,4719.24,30937.239999999998
INV00023,2026-02-24,Customer23,Product7,5,24476,122380,22028.4,144408.4
INV00024,2026-02-25,Customer24,Product15,3,36419,109257,19666.26,128923.26
INV00025,2026-02-26,Customer25,Product11,3,16596,49788,8961.84,58749.84
INV00026,2026-02-27,Customer26,Product6,5,14916,74580,13424.4,88004.4
INV00027,2026-02-28,Customer27,Product13,5,21637,108185,19473.3,127658.3
INV00028,2026-02-01,Customer28,Product9,5,21983,109915,19784.7,129699.7
INV00029,2026-02-02,Customer29,Product6,5,1588,7940,1429.2,9369.2
INV00030,2026-02-03,Customer30,Product16,5,31314,156570,28182.6,184752.6
INV00031,2026-02-04,Customer31,Product14,4,4633,18532,3335.76,21867.760000000002
INV00032,2026-02-05,Customer32,Product4,4,5259,21036,3786.48,24822.48
INV00033,2026-02-06,Customer33,Product14,4,6027,24108,4339.44,28447.44
INV00034,2026-02-07,Customer34,Product18,4,45436,181744,32713.92,214457.91999999998
INV00035,2026-02-08,Customer35,Product17,1,16625,16625,2992.5,19617.5
INV00036,2026-02-09,Customer36,Product16,2,45087,90174,16231.32,106405.32
INV00037,2026-02-10,Customer37,Product4,4,36728,146912,26444.16,173356.16
INV00038,2026-02-11,Customer38,Product12,4,49746,198984,35817.12,234801.12
INV00039,2026-02-12,Customer39,Product15,1,23783,23783,4280.94,28063.94
INV00040,2026-02-13,Customer40,Product3,2,28498,56996,10259.28,67255.28
INV00041,2026-02-14,Customer41,Product15,1,18192,18192,3274.56,21466.56
INV00042,2026-02-15,Customer42,Product15,2,25747,51494,9268.92,60762.92
INV00043,2026-02-16,Customer43,Product14,5,1703,8515,1532.7,10047.7
INV00044,2026-02-17,Customer44,Product3,3,49788,149364,26885.52,176249.52
INV00045,2026-02-18,Customer45,Product9,3,28559,85677,15421.86,101098.86
INV00046,2026-02-19,Customer46,Product9,1,43744,43744,7873.92,51617.92
INV00047,2026-02-20,Customer47,Product16,2,26381,52762,9497.16,62259.16
INV00048,2026-02-21,Customer48,Product5,5,7350,36750,6615.0,43365.0
INV00049,2026-02-22,Customer49,Product13,1,39833,39833,7169.94,47002.94
INV00050,2026-02-23,Customer50,Product20,2,26790,53580,9644.4,63224.4
INV00051,2026-02-24,Customer51,Product15,1,4387,4387,789.66,5176.66
INV00052,2026-02-25,Customer52,Product7,2,41437,82874,14917.32,97791.32
INV00053,2026-02-26,Customer53,Product14,5,10131,50655,9117.9,59772.9
INV00054,2026-02-27,Customer54,Product19,4,36676,146704,26406.72,173110.72
INV00055,2026-02-28,Customer55,Product5,5,29836,149180,26852.4,176032.4
INV00056,2026-02-01,Customer56,Product13,5,47903,239515,43112.7,282627.7
INV00057,2026-02-02,Customer57,Product4,3,30338,91014,16382.52,107396.52
INV00058,2026-02-03,Customer58,Product18,5,16233,81165,14609.7,95774.7
INV00059,2026-02-04,Customer59,Product12,5,8389,41945,7550.1,49495.1
INV00060,2026-02-05,Customer60,Product12,1,49564,49564,8921.52,58485.520000000004
INV00061,2026-02-06,Customer61,Product3,1,12058,12058,2170.44,14228.44
INV00062,2026-02-07,Customer62,Product7,5,45450,227250,40905.0,268155.0
INV00063,2026-02-08,Customer63,Product4,5,42925,214625,38632.5,253257.5
INV00064,2026-02-09,Customer64,Product9,4,24729,98916,17804.88,116720.88
INV00065,2026-02-10,Customer65,Product7,5,36480,182400,32832.0,215232.0
INV00066,2026-02-11,Customer66,Product15,5,38047,190235,34242.3,224477.3
INV00067,2026-02-12,Customer67,Product5,3,21725,65175,11731.5,76906.5
INV00068,2026-02-13,Customer68,Product1,2,2491,4982,896.76,5878.76
INV00069,2026-02-14,Customer69,Product20,2,20168,40336,7260.48,47596.479999999996
INV00070,2026-02-15,Customer70,Product6,2,5892,11784,2121.12,13905.119999999999
INV00071,2026-02-16,Customer71,Product2,2,40274,80548,14498.64,95046.64
INV00072,2026-02-17,Customer72,Product11,5,34021,170105,30618.9,200723.9
INV00073,2026-02-18,Customer73,Product4,4,28999,115996,20879.28,136875.28
INV00074,2026-02-19,Customer74,Product7,2,47081,94162,16949.16,111111.16
INV00075,2026-02-20,Customer75,Product12,3,37446,112338,20220.84,132558.84
INV00076,2026-02-21,Customer76,Product18,2,2186,4372,786.96,5158.96
INV00077,2026-02-22,Customer77,Product15,1,32089,32089,5776.02,37865.020000000004
INV00078,2026-02-23,Customer78,Product18,1,29887,29887,5379.66,35266.66
INV00079,2026-02-24,Customer79,Product8,3,29192,87576,15763.68,103339.68
INV00080,2026-02-25,Customer80,Product9,2,22852,45704,8226.72,53930.72
INV00081,2026-02-26,Customer81,Product13,4,23643,94572,17022.96,111594.95999999999
INV00082,2026-02-27,Customer82,Product2,5,33197,165985,29877.3,195862.3
INV00083,2026-02-28,Customer83,Product3,3,5034,15102,2718.36,17820.36
INV00084,2026-02-01,Customer84,Product10,1,47629,47629,8573.22,56202.22
INV00085,2026-02-02,Customer85,Product15,3,37705,113115,20360.7,133475.7
INV00086,2026-02-03,Customer86,Product5,5,18150,90750,16335.0,107085.0
INV00087,2026-02-04,Customer87,Product6,3,18848,56544,10177.92,66721.92
INV00088,2026-02-05,Customer88,Product7,3,19568,58704,10566.72,69270.72
INV00089,2026-02-06,Customer89,Product17,4,9160,36640,6595.2,43235.2
INV00090,2026-02-07,Customer90,Product16,1,45275,45275,8149.5,53424.5
INV00091,2026-02-08,Customer91,Product8,2,39724,79448,14300.64,93748.64
INV00092,2026-02-09,Customer92,Product7,4,36707,146828,26429.04,173257.04
INV00093,2026-02-10,Customer93,Product15,1,23716,23716,4268.88,27984.88
INV00094,2026-02-11,Customer94,Product9,2,26430,52860,9514.8,62374.8
INV00095,2026-02-12,Customer95,Product7,3,44161,132483,23846.94,156329.94
INV00096,2026-02-13,Customer96,Product12,4,2721,10884,1959.12,12843.119999999999
INV00097,2026-02-14,Customer97,Product15,3,11439,34317,6177.06,40494.06
INV00098,2026-02-15,Customer98,Product19,1,22693,22693,4084.74,26777.739999999998
INV00099,2026-02-16,Customer99,Product16,5,22200,111000,19980.0,130980.0
INV00100,2026-02-17,Customer100,Product8,1,30889,30889,5560.02,36449.020000000004
INV00101,2026-02-18,Customer101,Product2,4,20656,82624,14872.32,97496.32
INV00102,2026-02-19,Customer102,Product2,5,2014,10070,1812.6,11882.6
INV00103,2026-02-20,Customer103,Product4,2,37726,75452,13581.36,89033.36
INV00104,2026-02-21,Customer104,Product17,2,41768,83536,15036.48,98572.48
INV00105,2026-02-22,Customer105,Product11,1,2755,2755,495.9,3250.9
INV00106,2026-02-23,Customer106,Product13,3,32745,98235,17682.3,115917.3
INV00107,2026-02-24,Customer107,Product5,3,36253,108759,19576.62,128335.62
INV00108,2026-02-25,Customer108,Product15,3,23433,70299,12653.82,82952.82
INV00109,2026-02-26,Customer109,Product16,2,10339,20678,3722.04,24400.04
INV00110,2026-02-27,Customer110,Product18,5,23642,118210,21277.8,139487.8
INV00111,2026-02-28,Customer111,Product1,3,4917,14751,2655.18,17406.18
INV00112,2026-02-01,Customer112,Product15,4,43921,175684,31623.12,207307.12
INV00113,2026-02-02,Customer113,Product16,2,7178,14356,2584.08,16940.08
INV00114,2026-02-03,Customer114,Product15,5,40427,202135,36384.3,238519.3
INV00115,2026-02-04,Customer115,Product16,1,1590,1590,286.2,1876.2
INV00116,2026-02-05,Customer116,Product2,5,36003,180015,32402.7,212417.7
INV00117,2026-02-06,Customer117,Product18,3,32251,96753,17415.54,114168.54000000001
INV00118,2026-02-07,Customer118,Product15,3,48144,144432,25997.76,170429.76
INV00119,2026-02-08,Customer119,Product8,1,28642,28642,5155.56,33797.56
INV00120,2026-02-09,Customer120,Product19,5,26834,134170,24150.6,158320.6
INV00121,2026-02-10,Customer121,Product17,1,7874,7874,1417.32,9291.32
INV00122,2026-02-11,Customer122,Product20,4,9121,36484,6567.12,43051.12
INV00123,2026-02-12,Customer123,Product2,3,11465,34395,6191.1,40586.1
INV00124,2026-02-13,Customer124,Product8,2,43382,86764,15617.52,102381.52
INV00125,2026-02-14,Customer125,Product2,1,23996,23996,4319.28,28315.28
INV00126,2026-02-15,Customer126,Product15,3,33127,99381,17888.58,117269.58
INV00127,2026-02-16,Customer127,Product14,3,48659,145977,26275.86,172252.86
INV00128,2026-02-17,Customer128,Product14,2,17860,35720,6429.6,42149.6
INV00129,2026-02-18,Customer129,Product20,4,6490,25960,4672.8,30632.8
INV00130,2026-02-19,Customer130,Product20,2,32822,65644,11815.92,77459.92
INV00131,2026-02-20,Customer131,Product20,4,23288,93152,16767.36,109919.36
INV00132,2026-02-21,Customer132,Product4,5,17689,88445,15920.1,104365.1
INV00133,2026-02-22,Customer133,Product13,3,42516,127548,22958.64,150506.64
INV00134,2026-02-23,Customer134,Product6,2,18694,37388,6729.84,44117.84
INV00135,2026-02-24,Customer135,Product12,2,48225,96450,17361.0,113811.0
INV00136,2026-02-25,Customer136,Product14,2,19100,38200,6876.0,45076.0
INV00137,2026-02-26,Customer137,Product16,2,49104,98208,17677.44,115885.44
INV00138,2026-02-27,Customer138,Product17,2,31771,63542,11437.56,74979.56
INV00139,2026-02-28,Customer139,Product10,1,1238,1238,222.84,1460.84
INV00140,2026-02-01,Customer140,Product7,3,13014,39042,7027.56,46069.56
INV00141,2026-02-02,Customer141,Product12,5,4443,22215,3998.7,26213.7
INV00142,2026-02-03,Customer142,Product9,2,46447,92894,16720.92,109614.92
INV00143,2026-02-04,Customer143,Product10,2,16274,32548,5858.64,38406.64
INV00144,2026-02-05,Customer144,Product4,2,44825,89650,16137.0,105787.0
INV00145,2026-02-06,Customer145,Product3,2,30874,61748,11114.64,72862.64
INV00146,2026-02-07,Customer146,Product17,4,46898,187592,33766.56,221358.56
INV00147,2026-02-08,Customer147,Product3,4,3844,15376,2767.68,18143.68
INV00148,2026-02-09,Customer148,Product9,5,44993,224965,40493.7,265458.7
INV00149,2026-02-10,Customer149,Product14,3,8669,26007,4681.26,30688.260000000002
INV00150,2026-02-11,Customer150,Product6,2,42431,84862,15275.16,100137.16
INV00151,2026-02-12,Customer151,Product4,5,35569,177845,32012.1,209857.1
INV00152,2026-02-13,Customer152,Product10,2,6204,12408,2233.44,14641.44
INV00153,2026-02-14,Customer153,Product9,5,47839,239195,43055.1,282250.1
INV00154,2026-02-15,Customer154,Product4,5,31925,159625,28732.5,188357.5
INV00155,2026-02-16,Customer155,Product3,1,2194,2194,394.92,2588.92
INV00156,2026-02-17,Customer156,Product3,3,36773,110319,19857.42,130176.42
INV00157,2026-02-18,Customer157,Product2,2,1738,3476,625.68,4101.68
INV00158,2026-02-19,Customer158,Product11,2,23593,47186,8493.48,55679.479999999996
INV00159,2026-02-20,Customer159,Product17,2,22765,45530,8195.4,53725.4
INV00160,2026-02-21,Customer160,Product13,2,16668,33336,6000.48,39336.479999999996
INV00161,2026-02-22,Customer161,Product18,2,24172,48344,8701.92,57045.92
INV00162,2026-02-23,Customer162,Product18,5,7908,39540,7117.2,46657.2
INV00163,2026-02-24,Customer163,Product20,5,27174,135870,24456.6,160326.6
INV00164,2026-02-25,Customer164,Product14,4,49965,199860,35974.8,235834.8
INV00165,2026-02-26,Customer165,Product17,5,28753,143765,25877.7,169642.7
INV00166,2026-02-27,Customer166,Product7,3,29136,87408,15733.44,103141.44
INV00167,2026-02-28,Customer167,Product3,2,1283,2566,461.88,3027.88
INV00168,2026-02-01,Customer168,Product6,4,12629,50516,9092.88,59608.88
INV00169,2026-02-02,Customer169,Product18,3,37712,113136,20364.48,133500.48
INV00170,2026-02-03,Customer170,Product12,1,49651,49651,8937.18,58588.18
INV00171,2026-02-04,Customer171,Product15,3,41060,123180,22172.4,145352.4
INV00172,2026-02-05,Customer172,Product12,2,34795,69590,12526.2,82116.2
INV00173,2026-02-06,Customer173,Product4,5,47266,236330,42539.4,278869.4
INV00174,2026-02-07,Customer174,Product14,5,19327,96635,17394.3,114029.3
INV00175,2026-02-08,Customer175,Product8,3,34459,103377,18607.86,121984.86
INV00176,2026-02-09,Customer176,Product11,2,30979,61958,11152.44,73110.44
INV00177,2026-02-10,Customer177,Product15,4,45004,180016,32402.88,212418.88
INV00178,2026-02-11,Customer178,Product2,1,14081,14081,2534.58,16615.58
INV00179,2026-02-12,Customer179,Product2,5,12058,60290,10852.2,71142.2
INV00180,2026-02-13,Customer180,Product19,2,37252,74504,13410.72,87914.72
INV00181,2026-02-14,Customer181,Product13,5,44530,222650,40077.0,262727.0
INV00182,2026-02-15,Customer182,Product17,2,32812,65624,11812.32,77436.32
INV00183,2026-02-16,Customer183,Product18,5,11449,57245,10304.1,67549.1
INV00184,2026-02-17,Customer184,Product6,4,5013,20052,3609.36,23661.36
INV00185,2026-02-18,Customer185,Product16,2,12779,25558,4600.44,30158.44
INV00186,2026-02-19,Customer186,Product19,1,3599,3599,647.82,4246.82
INV00187,2026-02-20,Customer187,Product17,3,34442,103326,18598.68,121924.68
INV00188,2026-02-21,Customer188,Product7,1,15640,15640,2815.2,18455.2
INV00189,2026-02-22,Customer189,Product19,4,20207,80828,14549.04,95377.04000000001
INV00190,2026-02-23,Customer190,Product19,3,4506,13518,2433.24,15951.24
INV00191,2026-02-24,Customer191,Product9,4,20093,80372,14466.96,94838.95999999999
INV00192,2026-02-25,Customer192,Product19,3,9098,27294,4912.92,32206.92
INV00193,2026-02-26,Customer193,Product15,2,22722,45444,8179.92,53623.92
INV00194,2026-02-27,Customer194,Product12,1,37222,37222,6699.96,43921.96
INV00195,2026-02-28,Customer195,Product10,5,29917,149585,26925.3,176510.3
INV00196,2026-02-01,Customer196,Product8,2,44210,88420,15915.6,104335.6
INV00197,2026-02-02,Customer197,Product11,3,2937,8811,1585.98,10396.98
INV00198,2026-02-03,Customer198,Product9,3,2926,8778,1580.04,10358.04
INV00199,2026-02-04,Customer199,Product7,4,26126,104504,18810.72,123314.72
INV00200,2026-02-05,Customer200,Product6,3,12942,38826,6988.68,45814.68
INV00201,2026-02-06,Customer201,Product14,1,26139,26139,4705.02,30844.02
INV00202,2026-02-07,Customer202,Product16,2,28136,56272,10128.96,66400.95999999999
INV00203,2026-02-08,Customer203,Product13,5,4272,21360,3844.8,25204.8
INV00204,2026-02-09,Customer204,Product15,3,3585,10755,1935.9,12690.9
INV00205,2026-02-10,Customer205,Product5,5,6898,34490,6208.2,40698.2
INV00206,2026-02-11,Customer206,Product4,4,27179,108716,19568.88,128284.88
INV00207,2026-02-12,Customer207,Product12,4,45391,181564,32681.52,214245.52
INV00208,2026-02-13,Customer208,Product15,3,1550,4650,837.0,5487.0
INV00209,2026-02-14,Customer209,Product20,2,10970,21940,3949.2,25889.2
INV00210,2026-02-15,Customer210,Product3,3,28411,85233,15341.94,100574.94
INV00211,2026-02-16,Customer211,Product5,5,33088,165440,29779.2,195219.2
INV00212,2026-02-17,Customer212,Product2,2,36455,72910,13123.8,86033.8
INV00213,2026-02-18,Customer213,Product15,1,3588,3588,645.84,4233.84
INV00214,2026-02-19,Customer214,Product5,4,45400,181600,32688.0,214288.0
INV00215,2026-02-20,Customer215,Product8,4,27888,111552,20079.36,131631.36
INV00216,2026-02-21,Customer216,Product13,5,31524,157620,28371.6,185991.6
INV00217,2026-02-22,Customer217,Product11,5,708,3540,637.2,4177.2
INV00218,2026-02-23,Customer218,Product15,4,43027,172108,30979.44,203087.44
